Key,File,Type,UsedInMainMenu,NoTranslate,english
rbtTreeSeedVariantHelper,blocks,Block,,,"Bag of tree seeds"
rbtTreeSeedVariantHelperDesc,blocks,Variant,,,"With this bag on your hotbar, hold the Reload action and select a seed from the radial menu. Click or Shift-Click to select a seed to plant."

rbtAllTreesRandomHelper,blocks,Block,,,"Tree randomizer for respawn"
rbtAllTreesRandomHelperDesc,blocks,block,,,"Will randomly select a biome appropriate tree for a respawn event."

rbtAllCactiRandomHelper,blocks,Block,,,"Cacti randomizer for respawn"
rbtAllCactiRandomHelperDesc,blocks,block,,,"Will randomly select biome appropriate flora for a respawn event."

rbtAllRockSlabsRandomHelper,blocks,Block,,,"Boulder randomizer for respawn"
rbtAllRockSlabsRandomHelperDesc,blocks,block,,,"Will randomly select a boulder for a respawn event."

rbtTreeStumpRandomRespawner,blocks,Block,,,"Random tree respawner"
rbtTreeStumpRandomRespawnerDesc,blocks,block,,,"Will respawn a random, biome appropiate tree after a set time."

rbtTreeStumpWinterRandomRespawner,blocks,Block,,,"Random Winter tree respawner"
rbtTreeStumpWinterRandomRespawnerDesc,blocks,block,,,"Lower harvest results.  Will respawn a random, biome appropiate tree after a set time."

rbtTreeStumpBurntRandomRespawner,blocks,Block,,,"Random Burnt tree respawner"
rbtTreeStumpBurntRandomRespawnerDesc,blocks,block,,,"Lowest harvest results.  Will respawn a random, biome appropiate tree after a set time."

rbtBirdNestRespawner,blocks,Block,,,"Bird nest respawner"
rbtBirdNestRespawnerDesc,blocks,Block,,,"Will spawn a new bird's nest after a set time."

rbtCactiRandomRespawner,blocks,Block,,,"Random Desert flora respawner"
rbtCactiRandomRespawnerDesc,blocks,block,,,"Will respawn random, biome appropriate flora after a set time."

rbtBoulderRandomRespawner,blocks,Block,,,"Random boulder respawner"
rbtBoulderRandomRespawnerDesc,blocks,block,,,"Will respawn a random boulder after a set time."

rbtChrysanthemumRespawner,blocks,Block,,,"Chrysanthemum respawner"
rbtChrysanthemumRespawnerDesc,blocks,block,,,"Will respawn a chrysanthemum plant after a set time."

rbtCottonRespawner,blocks,Block,,,"Cotton respawner"
rbtCottonRespawnerDesc,blocks,block,,,"Will respawn a cotton plant after a set time."

rbtGoldenrodRespawnerRespawner,blocks,Block,,,"RGoldenrod respawner"
rbtGoldenrodRespawnerDesc,blocks,block,,,"Will respawn a goldenrod plant after a set time."

rbtAllVehiclesRandomHelper,blocks,Block,,,"Vehicle randomizer for respawn"
rbtAllVehiclesRandomHelperDesc,blocks,block,,,"Will randomly select a vehicle for a respawn event."

rbtAllSedansRandomHelper,blocks,Block,,,"Sedan randomizer for respawn"
rbtAllSedansRandomHelperDesc,blocks,block,,,"Will randomly select a sedan style vehicle for a respawn event."

rbtAllMinivansRandomHelper,blocks,Block,,,"Minivan randomizer for respawn"
rbtAllMinivansRandomHelperDesc,blocks,block,,,"Will randomly select a minivan style vehicle for a respawn event."

rbtAllSUVsRandomHelper,blocks,Block,,,"SUV randomizer for respawn"
rbtAllSUVsRandomHelperDesc,blocks,block,,,"Will randomly select a SUV style vehicle for a respawn event."

rbtAllPickupTrucksRandomHelper,blocks,Block,,,"Pickup truck randomizer for respawn"
rbtAllPickupTrucksRandomHelperDesc,blocks,block,,,"Will randomly select a pickup truck for a respawn event."

rbtAllPoliceCarRandomHelper,blocks,Block,,,"Police car randomizer for respawn"
rbtAllPoliceCarRandomHelperDesc,blocks,block,,,"Will randomly select a pickup police car for a respawn event."

rbtAllCrushedCarsRandomHelper,blocks,Block,,,"Crushed car stack randomizer for respawn"
rbtAllCrushedCarsRandomHelperDesc,blocks,block,,,"Will randomly select a crushed car stack for a respawn event."

cntAllBusesRandomHelper,blocks,Block,,,"Bus randomizer for respawn"
cntAllBusesRandomHelperDesc,blocks,block,,,"Will randomly select a bus style vehicle for a respawn event."

rbtAllServiceTrucksRandomHelper,blocks,Block,,,"Service truck randomizer for respawn"
rbtAllServiceTrucksRandomHelperDesc,blocks,block,,,"Will randomly select a service truck style vehicle for a respawn event."

rbtAllTractorsRandomHelper,blocks,Block,,,"Tractor randomizer for respawn"
