Key,File,Type,UsedInMainMenu,NoTranslate,english
robotCarsRandomRespawner,blocks,block,,,"Random car spawner."
robotCarsRandomRespawnerDesc,blocks,block,,,"Will respawn a random car after a set time."
robotSemiRandomRespawner,blocks,block,,,"Random semi-truck spawner."
robotSemiRandomRespawnerDesc,blocks,block,,,"Will respawn a random semi-truck after a set time."
robotPoliceRandomRespawner,blocks,block,,,"Random police car spawner."
robotPoliceRandomRespawnerDesc,blocks,block,,,"Will respawn a random police car after a set time."
robotFireTruckRandomRespawner,blocks,block,,,"Random fire truck spawner."
robotFireTruckRandomRespawnerDesc,blocks,block,,,"Will respawn a random fire truck after a set time."
robotCrushedCarsRandomRespawner,blocks,block,,,"Random crushded cars spawner."
robotCrushedCarsRandomRespawnerDesc,blocks,block,,,"Will respawn a random stack of crushded cars after a set time."
robotBusRandomRespawner,blocks,block,,,"Random bus type spawner."
robotBusRandomRespawnerDesc,blocks,block,,,"Will respawn a random bus type (bus, svc. veh., back-hoe, etc.) after a set time."
robotForkLiftRandomRespawner,blocks,block,,,"Random forklift spawner."
robotForkLiftRandomRespawnerDesc,blocks,block,,,"Will respawn a forklift after a set time."
